PacketID,SensorGenTime_ms,ProcessingTime_ms,TransmissionTime_ms
404,0.005,0.008,0.325
405,0.006,0.009,0.312
406,0.005,0.008,0.325
407,0.004,0.006,0.223
408,0.005,0.009,0.652
409,0.005,0.019,0.216
410,0.005,0.006,0.201
411,0.005,0.007,0.219
412,0.004,0.007,0.193
413,0.004,0.006,0.289
414,0.005,0.009,0.572
415,0.005,0.008,0.354
416,0.003,0.053,0.280
417,0.006,0.006,0.191
418,0.005,0.004,0.150
419,0.060,0.006,0.201
420,0.006,0.006,0.384
421,0.006,0.005,0.190
422,0.003,0.005,0.167
423,0.003,0.006,0.190
424,0.003,0.006,0.298
425,0.006,0.007,0.231
426,0.004,0.007,0.225
427,0.006,0.008,0.231
428,0.005,0.004,0.290
429,0.005,0.009,0.260
430,0.007,0.005,0.300
431,0.007,0.009,0.496
432,0.117,0.011,0.384
433,0.006,0.009,0.609
434,0.004,0.007,0.532
435,0.004,0.007,0.275
436,0.005,0.009,0.247
437,0.004,0.006,0.205
438,0.003,0.005,0.210
439,0.005,0.007,0.234
440,0.004,0.006,0.268
441,0.006,0.010,1.364
442,0.005,0.005,0.173
443,0.006,0.007,0.239
444,0.007,0.009,0.341
445,0.007,0.010,0.502
446,0.007,0.005,0.301
447,0.006,0.010,0.330
448,0.008,0.009,0.358
449,0.112,0.008,0.386
450,0.005,0.007,0.241
451,0.007,0.010,0.389
452,0.006,0.036,0.592
453,0.005,0.008,0.289
454,0.007,0.009,0.329
455,0.005,0.009,0.636
456,0.006,0.009,1.753
457,0.005,0.007,0.322
458,0.005,0.005,0.195
459,0.182,0.032,0.472
460,0.004,0.006,0.176
461,0.004,0.006,0.206
462,0.004,0.006,0.202
463,0.008,0.009,0.406
464,0.006,0.009,0.385
465,0.007,0.038,0.354
466,0.008,0.010,0.325
467,0.005,0.008,0.286
468,0.005,0.009,0.305
469,0.008,0.006,0.332
470,0.005,0.009,0.284
471,0.005,0.009,0.316
472,0.006,0.009,0.326
473,0.005,0.005,0.195
474,0.005,0.009,1.870
475,0.006,0.004,0.482
476,0.035,0.006,0.168
477,0.002,0.003,0.133
478,0.004,0.007,0.253
479,0.004,0.007,2.018
480,0.003,0.004,0.229
481,0.004,0.006,0.185
482,0.003,0.005,0.175
483,0.004,0.006,0.218
484,0.004,0.008,1.345
485,0.004,0.008,0.216
486,0.070,0.005,0.254
487,0.004,0.012,0.218
488,0.004,0.010,0.209
489,0.004,0.006,0.201
490,0.006,0.016,0.251
491,0.006,0.009,0.276
492,0.005,0.008,0.313
493,0.006,0.012,0.260
494,0.009,0.007,0.407
495,0.007,0.011,0.501
496,0.005,0.007,0.324
497,0.005,0.007,0.216
498,0.016,0.007,0.224
